n,Token,BIO
212,o,O
213,período,O
214,colonial,O
215,entre,O
216,20,O
217,e,O
218,50,O
219,da,O
220,população,O
221,do,O
222,país,O
223,morreu,O
224,na,O
225,luta,O
226,pela,O
227,independência,O
228,e,O
229,cerca,O
230,de,O
231,150,O
232,000,O
233,italianos,O
234,instalaram,O
235,se,O
236,na,O
237,Líbia,O
238,constituindo,O
239,cerca,O
240,de,O
241,um,O
242,quinto,O
243,da,O
244,população,O
245,.,O
246,Em,O
247,1934,O
248,a,O
249,Itália,O
250,adoptou,O
251,o,O
252,nome,O
253,Líbia,O
254,usado,O
255,pelos,O
256,gregos,O
257,para,O
258,designar,O
259,todo,O
260,o,O
261,norte,O
262,de,O
263,áfrica,O
264,excepto,O
265,o,O
266,Egipto,O
267,como,O
268,nome,O
269,oficial,O
270,da,O
271,colónia,O
272,feita,O
273,de,O
274,três,O
275,províncias,O
276,a,O
277,Cirenaica,O
278,a,O
279,Tripolitânia,O
280,e,O
281,Fezã,O
282,.,O
283,O,O
284,Rei,O
285,Idris,O
286,I,O
287,Emir,O
288,da,O
289,Cirenaica,O
290,liderou,O
291,a,O
292,resistência,O
293,líbia,O
294,contra,O
295,os,O
296,italianos,O
297,entre,O
298,as,O
299,duas,O
300,guerras,O
301,mundiais,O
302,.,O
303,Desde,O
304,1943,O
305,até,O
306,1951,O
307,a,O
308,Tripolitânia,O
309,e,O
310,a,O
311,Cirenaica,O
312,estiveram,O
313,sobre,O
314,a,O
315,administração,O
316,britânica,O
317,enquanto,O
318,que,O
319,os,O
320,franceses,O
321,controlavam,O
322,Fezã,O
323,.,O
324,Em,O
325,1944,O
326,Idris,O
327,voltou,O
328,do,O
329,exílio,O
330,no,O
331,Cairo,O
332,mas,O
333,recusou,O
334,ficar,O
335,a,O
336,viver,O
337,na,O
338,Cirenacia,O
339,até,O
340,alguns,O
341,aspectos,O
342,do,O
343,controlo,O
344,estrangeiro,O
345,serem,O
346,removidos,O
347,em,O
348,1947,O
349,.,O
350,Segundo,O
351,o,O
352,tratado,O
353,de,O
354,paz,O
355,de,O
356,1947,O
357,com,O
358,os,O
359,Aliados,O
360,a,O
361,Itália,O
362,renunciou,O
363,quaisquer,O
364,pretensões,O
365,ao,O
366,governo,O
367,do,O
368,país,O
369,.,O
370,Em,O
371,1,O
372,de,O
373,Setembro,O
374,de,O
375,1969,O
376,um,O
377,pequeno,O
378,grupo,O
379,de,O
380,oficiais,O
381,militares,O
382,liderado,O
383,por,O
384,Muammar,O
385,Abu,O
386,Minyar,O
387,al,O
388,Gaddafi,O
389,fez,O
390,um,O
391,golpe,O
392,de,O
393,estado,O
394,contra,O
395,o,O
396,Rei,O
397,Idris,O
398,.,O
399,Nessa,O
400,altura,O
401,Idris,O
402,estava,O
403,na,O
404,Turquia,O
405,a,O
406,receber,O
407,tratamento,O
408,médico,O
409,.,O
410,O,O
411,seu,O
412,sobrinho,O
413,o,O
414,príncipe,O
415,Sayyid,O
416,Hasan,O
417,ar,O
418,Rida,O
419,al,O
420,Mahdi,O
421,as,O
422,Sanussi,O
423,tornou,O
424,se,O
425,rei,O
426,.,O
427,O,O
428,grupo,O
429,de,O
430,oficiais,O
431,que,O
432,se,O
433,revoltou,O
434,tomaram,O
435,os,O
436,quartéis,O
437,militares,O
438,líbios,O
439,e,O
440,a,O
441,estação,O
442,de,O
443,rádio,O
444,.,O
445,Antes,O
446,do,O
447,fim,O
448,do,O
449,1º,O
450,de,O
451,Setembro,O
452,Sayyid,O
453,Hasan,O
454,ar,O
455,Rida,O
456,tinha,O
457,sido,O
458,formalmente,O
459,deposto,O
460,pelos,O
461,oficiais,O
462,militares,O
463,e,O
464,ficou,O
465,em,O
466,prisão,O
467,domiciliar,O
468,.,O
469,Entretanto,O
470,os,O
471,oficiais,O
472,aboliram,O
473,a,O
474,monarquia,O
475,e,O
476,proclamaram,O
477,a,O
478,nova,O
479,República,O
480,Árabe,O
481,Líbia,O
482,.,O
483,Referiam,O
484,se,O
485,e,O
486,referem,O
487,se,O
488,a,O
489,Gaddafi,O
490,como,O
491,Irmão,O
492,Líder,O
493,e,O
494,Guia,O
495,da,O
496,Revolução,O
497,em,O
498,declarações,O
499,governamentais,O
500,e,O
501,na,O
502,imprensa,O
503,oficial,O
504,.,O
505,Ao,O
506,longo,O
507,da,O
508,costa,O
509,o,O
510,clima,O
511,é,O
512,mediterrânico,O
513,mas,O
514,o,O
515,interior,O
516,é,O
517,o,O
518,deserto,O
519,muito,O
520,seco,O
521,do,O
522,Saara,O
523,de,O
524,onde,O
525,por,O
526,vezes,O
527,sopra,O
528,um,O
529,siroco,O
530,quente,O
531,seco,O
532,e,O
533,carregado,O
534,de,O
535,poeira,O
536,conhecido,O
537,no,O
538,país,O
539,como,O
540,ghibli,O
541,.,O
542,No,O
543,deserto,O
544,também,O
545,são,O
546,comuns,O
547,tempestades,O
548,de,O
549,poeira,O
550,ou,O
551,de,O
552,areia,O
553,.,O
554,lista,O
555,de,O
556,regiões,O
557,região1nome=Cirenaica,O
558,região1cor,O
559,9f9677,O
560,região1itens=Bengasi,O
561,Shahhat,O
562,Tobruk,O
563,região1descrição=A,O
564,região,O
565,nordeste,O
566,na,O
567,costa,O
568,do,O
569,Mar,O
570,Mediterrâneo,O
571,região2nome=Líbia,O
572,Saariana,O
573,região2cor,O
574,dfdb88,O
575,região2itens=Gadamés,O
576,Sabha,O
577,Ghat,O
578,região2descrição=O,O
579,enorme,O
580,deserto,O
581,no,O
582,sul,O
583,do,O
584,país,O
585,com,O
586,fantásticas,O
587,paisagens,O
588,e,O
589,algumas,O
590,das,O
591,temperaturas,O
592,mais,O
593,altas,O
594,alguma,O
595,vez,O
596,registadas,O
597,no,O
598,país,O
599,.,O
600,região3nome=Tripolitânia,O
601,região3cor,O
602,c3bca4,O
603,região3itens=Tripoli,O
604,Gharyan,O
605,Misratah,O
606,Surt,O
607,região3descrição=A,O
608,região,O
609,nordeste,O
610,na,O
611,costa,O
612,do,O
613,Mar,O
614,Mediterrâneo,O
615,com,O
616,a,O
617,capital,O
618,e,O
619,antigas,O
620,ruínas,O
621,romanas,O
622,.,O
623,Para,O
624,entrar,O
625,no,O
626,país,O
627,são,O
628,necessários,O
629,passaportes,O
630,e,O
631,vistos,O
632,para,O
633,todas,O
634,as,O
635,nacionalidades,O
636,excepto,O
637,naturais,O
638,da,O
639,Argélia,O
640,Egipto,O
641,Jordânia,O
642,Mauritânia,O
643,Marrocos,O
644,Síria,O
645,Tunísia,O
646,e,O
647,Turquia,O
648,.,O
649,Quem,O
650,tiver,O
651,um,O
652,passaporte,O
653,que,O
654,indique,O
655,viagens,O
656,para,O
657,Israel,O
658,não,O
659,poderá,O
660,entrar,O
661,.,O
662,Pode,O
663,arranjar,O
664,um,O
665,visto,O
666,na,O
667,embaixada,O
668,ou,O
669,consulado,O
670,mais,O
671,próximo,O
672,Tripoli,O
673,é,O
674,servido,O
675,pela,O
676,maior,O
677,parte,O
678,das,O
679,grandes,O
680,companhias,O
681,europeias,O
682,e,O
683,árabes,O
684,e,O
685,pela,O
686,companhia,O
687,nacional,O
688,a,O
689,Libyan,O
690,Airlines,O
691,que,O
692,usa,O
693,este,O
694,aeroporto,O
695,como,O
696,principal,O
697,centro,O
698,de,O
699,operação,O
700,.,O
701,Existem,O
702,voos,O
703,diários,O
704,desde/para,O
705,os,O
706,principais,O
707,aeroportos,O
708,internacionais,O
709,europeus,O
710,como,O
711,os,O
712,de,O
713,Heathrow,O
714,Londres,O
715,Charles,O
716,de,O
717,Gaulle,O
718,Paris,O
719,Frankfurt,O
720,Amsterdam,O
721,Roma,O
722,e,O
723,vários,O
724,voos,O
725,semanais,O
726,de/para,O
727,Milão,O
728,Manchester,O
729,Viena,O
730,Alexandria,O
731,etc,O
732,.,O
733,Uma,O
734,nova,O
735,companhia,O
736,privada,O
737,líbia,O
738,a,O
739,Afriqiyah,O
740,realiza,O
741,voos,O
742,diários,O
743,para,O
744,muitas,O
745,cidades,O
746,europeias,O
747,Bruxelas,O
748,Paris,O
749,Amsterdam,O
750,e,O
751,Londres,O
752,e,O
753,africanas,O
754,com,O
755,Tripoli,O
756,como,O
757,principal,O
758,centro,O
759,de,O
760,operação,O
761,.,O
762,Outra,O
763,companhia,O
764,privada,O
765,a,O
766,Buraq,O
767,Air,O
768,realiza,O
769,voos,O
770,domésticos,O
771,bem,O
772,como,O
773,alguns,O
774,voos,O
775,para,O
776,destinos,O
777,internacionais,O
778,incluindo,O
779,Istambul,O
780,e,O
781,Alepo,O
782,.,O
783,Existem,O
784,também,O
785,alguns,O
786,voos,O
787,internacionais,O
788,desde,O
789,Bengasi,O
790,para,O
791,destinos,O
792,como,O
793,Alexandria,O
794,e,O
795,Cairo,O
796,e,O
797,futuramente,O
798,Londres,O
799,e,O
800,Casablanca,O
801,.,O
802,Estes,O
803,tendem,O
804,a,O
805,ser,O
806,mais,O
807,raros,O
808,e,O
809,os,O
810,horários,O
811,variam,O
812,por,O
813,isso,O
814,verifique,O
815,antes,O
816,.,O
817,A,O
818,Líbia,O
819,não,O
820,tem,O
821,linhas,O
822,de,O
823,comboio,O
824,nenhumas,O
825,.,O
826,Líbia,O
827,é,O
828,um,O
829,país,O
830,seguro,O
831,no,O
832,que,O
833,se,O
834,refere,O
835,a,O
836,assaltos,O
837,furtos,O
838,roubos,O
839,e,O
840,sequestros,O
841,.,O
842,O,O
843,povo,O
844,é,O
845,muito,O
846,amigável,O
847,sempre,O
848,disposto,O
849,a,O
850,dar,O
851,informações,O
852,.,O
853,O,O
854,único,O
855,problema,O
856,é,O
857,a,O
858,língua,O
859,pois,O
860,a,O
861,maior,O
862,parte,O
863,da,O
864,população,O
865,apenas,O
866,fala,O
867,o,O
868,árabe,O
869,.,O
870,Mesmo,O
871,em,O
872,hotéis,O
873,a,O
874,comunicação,O
875,se,O
876,torna,O
877,difícil,O
878,.,O
879,Para,O
880,visitar,O
881,Leptis,O
882,Magna,O
883,e,O
884,Sabratha,O
885,recomenda,O
886,se,O
887,alugar,O
888,uma,O
889,van,O
890,por,O
891,um,O
892,dia,O
893,inteiro,O
894,.,O
895,O,O
896,preço,O
897,.,O
898,Dependerá,O
899,de,O
900,sua,O
901,negociação,O
902,com,O
903,o,O
904,motorista,O
905,.,O
906,Cada,O
907,um,O
908,fará,O
909,um,O
910,preço,O
911,até,O
912,que,O
913,você,O
914,se,O
915,decida,O
916,por,O
917,um,O
918,.,O
919,Ainda,O
920,falando,O
921,em,O
922,segurança,O
923,se,O
924,perguntares,O
925,o,O
926,preço,O
927,de,O
928,algo,O
929,não,O
930,peça,O
931,se,O
932,há,O
933,desconto,O
934,a,O
935,vista,O
936,se,O
937,não,O
938,pretendes,O
939,comprar,O
940,pois,O
941,uma,O
942,vez,O
943,iniciado,O
944,esse,O
945,tipo,O
946,de,O
947,conversa,O
948,é,O
949,considerado,O
950,como,O
951,um,O
952,desaforo,O
953,o,O
954,não,O
955,fechamento,O
956,do,O
957,negócio,O
958,.,O
959,Sempre,O
960,que,O
961,um,O
962,árabe,O
963,inicia,O
964,uma,O
965,negociação,O
966,a,O
967,mesma,O
968,terá,O
969,que,O
970,acabar,O
971,fechada,O
972,.,O
973,Para,O
974,os,O
975,homens,O
976,convém,O
977,não,O
978,usar,O
979,bermudas,O
980,em,O
981,locais,O
982,públicos,O
983,pois,O
984,na,O
985,religião,O
986,muçulmana,O
987,homens,O
988,apenas,O
989,usam,O
990,calças,O
991,.,O
992,Não,O
993,que,O
994,isso,O
995,trará,O
996,atos,O
997,hostis,O
998,mas,O
999,a,O
1000,população,O
1001,irá,O
1002,olhá,O
1003,lho,O
1004,de,O
1005,forma,O
1006,diferente,O
1007,.,O
